Dish Name,Country,Type,Meal,Priority,Cook Status,Availability,Cooking Time,Difficulty,URL,Ingredient Name,Ingredient Category,Ingredient In Stock
Yakani pulav,Indian,Lunch,,Medium,Planned,✅ Available,,,https://youtu.be/wnTwfl6BuaI?si=jfDSwoWbrM1o4vLo,Ginger,Aroma to dish,Yes
Yakani pulav,Indian,Lunch,,Medium,Planned,✅ Available,,,https://youtu.be/wnTwfl6BuaI?si=jfDSwoWbrM1o4vLo,Onion,Vegetables,Yes
Yakani pulav,Indian,Lunch,,Medium,Planned,✅ Available,,,https://youtu.be/wnTwfl6BuaI?si=jfDSwoWbrM1o4vLo,Coriender,Vegetables,Yes
Yakani pulav,Indian,Lunch,,Medium,Planned,✅ Available,,,https://youtu.be/wnTwfl6BuaI?si=jfDSwoWbrM1o4vLo,Cumin Seeds,Spices,Yes
Yakani pulav,Indian,Lunch,,Medium,Planned,✅ Available,,,https://youtu.be/wnTwfl6BuaI?si=jfDSwoWbrM1o4vLo,Fennel Seeds,Spices,Yes
Yakani pulav,Indian,Lunch,,Medium,Planned,✅ Available,,,https://youtu.be/wnTwfl6BuaI?si=jfDSwoWbrM1o4vLo,Coriander Seeds,Spices,Yes
Yakani pulav,Indian,Lunch,,Medium,Planned,✅ Available,,,https://youtu.be/wnTwfl6BuaI?si=jfDSwoWbrM1o4vLo,Cloves,Spices,Yes
Yakani pulav,Indian,Lunch,,Medium,Planned,✅ Available,,,https://youtu.be/wnTwfl6BuaI?si=jfDSwoWbrM1o4vLo,Pepper,Spices,Yes
Yakani pulav,Indian,Lunch,,Medium,Planned,✅ Available,,,https://youtu.be/wnTwfl6BuaI?si=jfDSwoWbrM1o4vLo,Cardamom,Spices,Yes
Yakani pulav,Indian,Lunch,,Medium,Planned,✅ Available,,,https://youtu.be/wnTwfl6BuaI?si=jfDSwoWbrM1o4vLo,Mace,Spices,Yes
Yakani pulav,Indian,Lunch,,Medium,Planned,✅ Available,,,https://youtu.be/wnTwfl6BuaI?si=jfDSwoWbrM1o4vLo,Cinnamon,Spices,Yes
Yakani pulav,Indian,Lunch,,Medium,Planned,✅ Available,,,https://youtu.be/wnTwfl6BuaI?si=jfDSwoWbrM1o4vLo,Star anise,Spices,Yes
