Dish Name,Country,Type,Meal,Priority,Cook Status,Availability,Cooking Time,Difficulty,URL,Ingredient Name,Ingredient Category,Ingredient In Stock
Kabocha Squash & Basil Stir-Fry (ฟักทองผัดไข่),Thai,,,Medium,Planned,❌ Unavailable,,,,Basil,,No
Kabocha Squash & Basil Stir-Fry (ฟักทองผัดไข่),Thai,,,Medium,Planned,❌ Unavailable,,,,Jasmin rice,Carbs,No
Kabocha Squash & Basil Stir-Fry (ฟักทองผัดไข่),Thai,,,Medium,Planned,❌ Unavailable,,,,Oyster sauce,,Yes
Kabocha Squash & Basil Stir-Fry (ฟักทองผัดไข่),Thai,,,Medium,Planned,❌ Unavailable,,,,Soy Sauce,Oils and sauces,Yes
Kabocha Squash & Basil Stir-Fry (ฟักทองผัดไข่),Thai,,,Medium,Planned,❌ Unavailable,,,,ナンプラ,Oils and sauces,Yes
Kabocha Squash & Basil Stir-Fry (ฟักทองผัดไข่),Thai,,,Medium,Planned,❌ Unavailable,,,,Brown sugar,Cake ingredient,Yes
Kabocha Squash & Basil Stir-Fry (ฟักทองผัดไข่),Thai,,,Medium,Planned,❌ Unavailable,,,,Black pepper,,Yes
Kabocha Squash & Basil Stir-Fry (ฟักทองผัดไข่),Thai,,,Medium,Planned,❌ Unavailable,,,,Golden Mountain sauce,,No
Tokoyo Nabe (ほうれん草と豚バラの常夜鍋),Japanese,,,Medium,Planned,❌ Unavailable,,,,Pork shabu shabu,Meat,No
Tokoyo Nabe (ほうれん草と豚バラの常夜鍋),Japanese,,,Medium,Planned,❌ Unavailable,,,,Spinach,Vegetables,Yes
Tokoyo Nabe (ほうれん草と豚バラの常夜鍋),Japanese,,,Medium,Planned,❌ Unavailable,,,,昆布[乾燥] (11gm),Aroma to dish,Yes
Tokoyo Nabe (ほうれん草と豚バラの常夜鍋),Japanese,,,Medium,Planned,❌ Unavailable,,,,Sake,Oils and sauces,Yes
Tokoyo Nabe (ほうれん草と豚バラの常夜鍋),Japanese,,,Medium,Planned,❌ Unavailable,,,,Salt,Others,Yes
Tokoyo Nabe (ほうれん草と豚バラの常夜鍋),Japanese,,,Medium,Planned,❌ Unavailable,,,,大根,Vegetables,Yes
Tokoyo Nabe (ほうれん草と豚バラの常夜鍋),Japanese,,,Medium,Planned,❌ Unavailable,,,,小ネギ,Vegetables,Yes
Tokoyo Nabe (ほうれん草と豚バラの常夜鍋),Japanese,,,Medium,Planned,❌ Unavailable,,,,ポン酢,Oils and sauces,Yes
鶏ゴムタン,Japanese,Lunch,,High,✅ Cooked,❌ Unavailable,,,,Chicken (with bones),Meat,No
鶏ゴムタン,Japanese,Lunch,,High,✅ Cooked,❌ Unavailable,,,,Onion,Vegetables,Yes
鶏ゴムタン,Japanese,Lunch,,High,✅ Cooked,❌ Unavailable,,,,長ネギ,Vegetables,Yes
鶏ゴムタン,Japanese,Lunch,,High,✅ Cooked,❌ Unavailable,,,,Garlic,Aroma to dish,Yes
鶏ゴムタン,Japanese,Lunch,,High,✅ Cooked,❌ Unavailable,,,,Ginger,Aroma to dish,Yes
鶏ゴムタン,Japanese,Lunch,,High,✅ Cooked,❌ Unavailable,,,,大根,Vegetables,Yes
鶏ゴムタン,Japanese,Lunch,,High,✅ Cooked,❌ Unavailable,,,,昆布[乾燥] (11gm),Aroma to dish,Yes
鶏ゴムタン,Japanese,Lunch,,High,✅ Cooked,❌ Unavailable,,,,Salt,Others,Yes
鶏ゴムタン,Japanese,Lunch,,High,✅ Cooked,❌ Unavailable,,,,Black paper powder,Spices,Yes
鶏ゴムタン,Japanese,Lunch,,High,✅ Cooked,❌ Unavailable,,,,ごま油,Oils and sauces,Yes
鶏ゴムタン,Japanese,Lunch,,High,✅ Cooked,❌ Unavailable,,,,えのき茸,Vegetables,Yes
鶏ゴムタン,Japanese,Lunch,,High,✅ Cooked,❌ Unavailable,,,,Coriender,Vegetables,Yes
Fudgy Brownie (1),Cake British,Dessert,Cake,High,✅ Cooked,✅ Available,,,,Unsalted butter,Dairy,Yes
Fudgy Brownie (1),Cake British,Dessert,Cake,High,✅ Cooked,✅ Available,,,,Brown sugar,Cake ingredient,Yes
Fudgy Brownie (1),Cake British,Dessert,Cake,High,✅ Cooked,✅ Available,,,,Eggs,Meat,Yes
Fudgy Brownie (1),Cake British,Dessert,Cake,High,✅ Cooked,✅ Available,,,,Chocolates,Cake ingredient,Yes
Fudgy Brownie (1),Cake British,Dessert,Cake,High,✅ Cooked,✅ Available,,,,Cocoa powder,Cake ingredient,Yes
Fudgy Brownie (1),Cake British,Dessert,Cake,High,✅ Cooked,✅ Available,,,,Flour,Cake ingredient,Yes
Fudgy Brownie (1),Cake British,Dessert,Cake,High,✅ Cooked,✅ Available,,,,Dark chocolate,Cake ingredient,Yes
Fudgy Brownie (1),Cake British,Dessert,Cake,High,✅ Cooked,✅ Available,,,,Vanilla essence,Cake ingredient,Yes
Fudgy Brownie (1),Cake British,Dessert,Cake,High,✅ Cooked,✅ Available,,,,Salt,Others,Yes
Canned fish curry,Myanmar,Lunch,,,✅ Cooked,⚠️ No ingredients linked,,,,(no ingredients linked),,
Canned fish fry,Myanmar,Lunch,,,✅ Cooked,⚠️ No ingredients linked,,,,(no ingredients linked),,
🍋 Chili Lime Peanuts with Thai Herbs,Thai,Breakfast,,Low,Planned,❌ Unavailable,,,,Peanuts,Nuts,Yes
🍋 Chili Lime Peanuts with Thai Herbs,Thai,Breakfast,,Low,Planned,❌ Unavailable,,,,cashew nuts,,Yes
🍋 Chili Lime Peanuts with Thai Herbs,Thai,Breakfast,,Low,Planned,❌ Unavailable,,,,Garlic,Aroma to dish,Yes
🍋 Chili Lime Peanuts with Thai Herbs,Thai,Breakfast,,Low,Planned,❌ Unavailable,,,,Lime leaves,,Yes
🍋 Chili Lime Peanuts with Thai Herbs,Thai,Breakfast,,Low,Planned,❌ Unavailable,,,,Chicken bouillon powder,,No
🍋 Chili Lime Peanuts with Thai Herbs,Thai,Breakfast,,Low,Planned,❌ Unavailable,,,,Chili powder,,No
🍋 Chili Lime Peanuts with Thai Herbs,Thai,Breakfast,,Low,Planned,❌ Unavailable,,,,Canora Cooking Oil,Oils and sauces,Yes
🍋 Chili Lime Peanuts with Thai Herbs,Thai,Breakfast,,Low,Planned,❌ Unavailable,,,,Lime juice powder,,No
🍋 Chili Lime Peanuts with Thai Herbs,Thai,Breakfast,,Low,Planned,❌ Unavailable,,,,Lemon,Aroma to dish,Yes
Soy Sauce + Miso Mushroom Soup,Japanese,,,,Planned,⚠️ No ingredients linked,,,,(no ingredients linked),,
Torigara Soup Powder Version (Mushroom Soup),Japanese,,,,✅ Cooked,⚠️ No ingredients linked,,,,(no ingredients linked),,
🌶️ 口水鸡 — Sichuan Mouth-Watering Chicken,Chinese,,,,,⚠️ No ingredients linked,,,,(no ingredients linked),,
Chicken & Chicken Liver Curry (North-Indian Style),Myanmar,Lunch,,,✅ Cooked,❌ Unavailable,,,,Chicken (with bones),Meat,No
Chicken & Chicken Liver Curry (North-Indian Style),Myanmar,Lunch,,,✅ Cooked,❌ Unavailable,,,,Chicken lever,Meat,No
Chicken & Chicken Liver Curry (North-Indian Style),Myanmar,Lunch,,,✅ Cooked,❌ Unavailable,,,,Onion,Vegetables,Yes
Chicken & Chicken Liver Curry (North-Indian Style),Myanmar,Lunch,,,✅ Cooked,❌ Unavailable,,,,Canora Cooking Oil,Oils and sauces,Yes
Chicken & Chicken Liver Curry (North-Indian Style),Myanmar,Lunch,,,✅ Cooked,❌ Unavailable,,,,Bay leaves,Spices,Yes
Chicken & Chicken Liver Curry (North-Indian Style),Myanmar,Lunch,,,✅ Cooked,❌ Unavailable,,,,Cumin Seeds,Spices,Yes
Chicken & Chicken Liver Curry (North-Indian Style),Myanmar,Lunch,,,✅ Cooked,❌ Unavailable,,,,Black pepper,,Yes
Chicken & Chicken Liver Curry (North-Indian Style),Myanmar,Lunch,,,✅ Cooked,❌ Unavailable,,,,Turmeric Powder,Spices,Yes
Chicken & Chicken Liver Curry (North-Indian Style),Myanmar,Lunch,,,✅ Cooked,❌ Unavailable,,,,Chilli Powder,Spices,Yes
Chicken & Chicken Liver Curry (North-Indian Style),Myanmar,Lunch,,,✅ Cooked,❌ Unavailable,,,,Garam Masala,Spices,Yes
Chicken & Chicken Liver Curry (North-Indian Style),Myanmar,Lunch,,,✅ Cooked,❌ Unavailable,,,,Salt,Others,Yes
🧀 Cheesecake,,Dessert,,,,⚠️ No ingredients linked,,,,(no ingredients linked),,
Japanese Simmered Beans (市販豆の簡単煮物),Japanese,,,,,⚠️ No ingredients linked,,,,(no ingredients linked),,
Burmese-Style Gongura Leaf Stir-Fry,Myanmar,,,,,⚠️ No ingredients linked,,,,(no ingredients linked),,
Devil’s egg,,,,,,⚠️ No ingredients linked,,,,(no ingredients linked),,
